Hanzi	Keyword	Traditional	Strokes	Number	Lesson	Pinyin	Notes	Frequency	No Frequent	Pinyin2	Meaning						
妨	Hinder		7	495	19	{fáng,fāng}		0,004295001	1873	fang2	hinder/harm						
放	Release		8	496	19	{fàng,fǎng}		0,076277486	291	fang4	to release/to free/to let go/to put/to place/to let out						
激	Excite		16	497	19	{jī,jiào,jiāo}		0,027246463	710	ji1	to arouse/to incite/to excite/to stimulate/sharp/fierce/violent						
旁	Side		10	498	19	{páng,bàng}		0,016675623	981	pang2	beside/one side/other/side/self						
兑	Convert		7	499	19	{duì,yuè,ruì}		0,002119336	2424	dui4	to cash						
脱	Undress		11	500	19	tuō		0,017853893	943	tuo1	to shed/to take off/to escape/to get away from						
说	Speak		9	501	19	{shuō,shuì,tuō,yuè}		0,452175107	24	shui4/shuo1	persuade (politically), to speak/to say						
曾	Formerly		12	502	19	{céng,zēng}		0,046163383	463	ceng2/zeng1	(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)						
增	Increase		15	503	19	zēng		0,048510104	446	zeng1	to increase/to expand/to add						
赠	Make a present of		16	504	19	zèng		0,003102778	2123	zeng4	give present						
剖	cut open	剖		1720	19	Pōu			2484	pou1	to cut						
菩	bodhisattva	菩		1721	19	Pú			2209	pu2	Bodhisattva						
黯	tenebrous	黯		1722	19	àn			2881	an4	deep black/dark						
赢	win	贏		1723	19	Yíng			1836	ying2	to beat/to win/to profit						
芒	mango	芒		1724	19	Máng			2251	mang2	Miscanthus sinensis						
荒	wasteland	荒		1725	19	Huāng			1328	huang1	out of practice/uncultivated						
谎	lie	謊		1726	19	Huǎng			2207	huang3	lies/to lie						
茫	boundless	茫		1727	19	Máng			1951	mang2	vague/vast						
坊	workshop	坊		1728	19	Fáng			2542	fang1	subdivision of a city						
芳	aromatic	芳		1729	19	Fāng			1586	fang1	fragrant						
访	call on	訪		1730	19	Fǎng			1037	fang3	inquire/seek/visit						
淤	silt	淤		1731	19	yū			3576	yu1	silt						
熬	stew	熬		1732	19	Áo			2705	ao1/ao2	to boil/stew/to simmer, endure/to boil						
膀	upper arm	膀		1733	19	Bǎng			1941	bang3/bang4/pang1/pang2	upper arm/wing, to flirt, puffed (swollen), bladder						
磅	pound	磅		1734	19	Bàng			2941	bang4/pang2	a measure word/pound (unit of measurement)/scale/weigh						
榜	roster	榜		1735	19	Bǎng			2556	bang3	a notice or announcement/a list of names/public roll of successful examinees						
锐	sharp	銳		1736	19	Ruì			1851	rui4	acute						
也	Also		3	505	20	yě		0,367051293	31	ye3	also/too						
她	She		6	506	20	tā		0,200828905	91	ta1	she						
地	Ground		6	507	20	{dì,de}		0,500945153	21	de/di4	(subor. part. adverbial)/-ly, earth/ground/field/place/land						
池	Pond		6	508	20	{chí,tuó,chè}		0,005317202	1709	chi2	pond/reservoir						
虫	Insect		6	509	20	{chóng,huǐ}		0,00977189	1287	chong2	insect/worm, an animal/an invertebrate/a worm/an insect						
虾	Shrimp		9	510	20	{xiā,há}		0,001208244	2847	xia1	shrimp/prawn						
独	Alone		9	511	20	dú		0,033178122	627	du2	alone/independent/single/sole/only						
虽	Although		9	512	20	suī	Although they aren't very tasty this person feels compelled to stuff their mouth full of insects	0,041909724	504	sui1	although/even though						
蛇	Serpent		11	513	20	{shé,yí,tuó,chí}	This serpent is slithering along the ground chasing an insect that is determined not to become it's dinner in this deadly game of tag	0,005445882	1689	she2	snake/serpent						
蛋	Egg		11	514	20	dàn	The egg of a very rare insect - every zoo in the world wants to get their hands on it!	0,008426182	1387	dan4	egg/oval shaped						
己	Self		3	515	20	jǐ		0,12965829	162	ji3	6th heavenly stem/self						
起	Begin		10	516	20	qǐ	This snake is tired of slithering along the ground after insects and has begun walking lessons	0,219599058	75	qi3	to rise/to raise/to get up						
改	Alter		7	517	20	gǎi		0,062542887	350	gai3	to change/to alter/to transform/to correct						
记	Remember		5	518	20	jì	This intellectual snake has an unusal method of learning - instead of revising it gobbles up the words whole into it's belly!	0,072092043	306	ji4	to remember/to note/mark/sign/to record						
已	Already		3	519	20	yǐ		0,164411573	117	yi3	already/to stop/then/afterwards						
包	Wrap		5	520	20	bāo	You wrap up your gift (a crocodile skin handbag) in particuarly snazzy wrapping of matching snakeskin	0,047151476	454	bao1	to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for)						
泡	Bubbles		8	521	20	{pào,páo,pāo}	Bubbles are just water wrapping up a pocket of air	0,003641268	2000	pao1/pao4	puffed/swollen, to steep/soak/bubble(s)/foam						
导	Guide		6	522	20	{dǎo,dào}	Your copy of the Hitchhikers Guide is bound with snakeskin glued to the cover - very fetching!	0,064320628	343	dao3	to transmit/to lead/to guide/to conduct/to direct				议	yi4	criticize/discuss
顾	Look Back		10	523	20	gù	Like Lot at Sodom, if you turn your head to look back at the cliff collapsing onto a town of sinners you will be turned into a snakeskin purse	0,022084813	815	gu4	look after/take into consideration/to attend to						
逐	Pursue		11	524	20	{zhú,dí,zhòu,tún}	Your unusually intellegient sows have escaped from their pen and are making a break for freedom down the road. You had better pursue them!	0,017636843	954	zhu2	to pursue/to chase/individually/one by one						
家	House		10	525	20	{jiā,jie,gū}		0,263451894	56	jia1	furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession						
场	Site		6	526	20	{cháng,chǎng}	At the building site for a bacon factory, piglets run happily through the mounds of soil that will become their new home	0,089730436	249	chang3	a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)						
汤	Soup		6	527	20	{tāng,tàng,shāng,yáng}	You're surprised by a tiny trotter floating up in your bowl of soup. Too late, you realise it was made from the bodies of tiny piglets soaked in water!	0,006005043	1618	tang1	(surname)/soup						
羊	Sheep		6	528	20	yáng		0,009179654	1337	yang2	(surname)/sheep						
美	Beautiful		9	529	20	měi	The Welsh clearly aren't the only ones that think beauty is a large sheep...	0,139248788	151	mei3	America/beautiful						
洋	Ocean		9	530	20	{yáng,xiáng,yǎng}	The waters of the Pasheephic Ocean	0,022579376	803	yang2	foreign/ocean						
鲜	Fresh		14	531	20	{xiān,xiǎn,xiàn}	The freshest fish is caught in the middle of the night, when everyone else is counting sheep in bed!	0,017425995	958	xian1/xian3	fresh, few/rare						
样	Appearance		10	532	20	{yáng,yàng,xiàng}	The fire brigade are used to fetching cats down from trees, so the sudden appearance of a sheep halfway up one came as something of a suprise	0,205757485	88	yang4	manner/pattern/way/appearance/shape						
兰	Orchid		5	533	20	lán		0,032015356	642	lan2	orchid						
烂	Spoiled		9	534	20	làn	Nothing spoiled the orchid garden more than when it was set alight by a rampaging, flaming tail-less sheep	0,004979225	1754	lan4	overcooked/rotten/soft						
差	Fall short of		10	535	20	{chà,chāi}	It's a little known fact that when properly spun lambs wool can be stronger than steel thread. Thus when this building site fell short of I-beams they substituted wool instead.	0,026019615	732	cha1/cha4/chai1/ci1	difference/discrepancy/to differ/error/to err/to make a mistake, differ from/short of/to lack/poor, send/a messenger/a mission/to commission, uneven						
着	-ing		11	536	20	{zháo,zhe,zhāo,zhuó}		0,323675966	41	zhao1/zhao2/zhe/zhu4/zhuo2	catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply						
养	Raise		9	537	20	{yǎng,yàng}		0,024651684	760	yang3	give birth/keep (pets)/to support/to bring sb. up/to raise (pig, etc.)						
集	Gather		12	538	20	jí	When the hunter-gatherers come by, these particularly smart turkeys flee to the tops of the trees	0,053755473	406	ji2	to gather/to collect/collected works						
准	Standard		10	539	20	zhǔn	In this age of supermarkets, all turkeys are bred to be the exact same size and shape. If your turkey doesn't meet those standards, it won't be allowed into the supermarket freezers.	0,058849941	379	zhun3	to allow/to grant/to permit/accurate/standard, accurate/standard						
谁	Who?		10	540	20	{shuí,shéi}		0,031796756	648	shei2/shui2	who, who						
售	Vend		11	541	20	shòu	In Japan, you are able to obtain a turkey from a vending machine to stuff into your mouth at any hour of the day.	0,013128926	1114	shou4	to sell						
午	Noon		4	542	20	wǔ		0,016012587	1004	wu3	11 a.m.-1 p.m./7th earthly branch/noon						
许	Permit		6	543	20	{xǔ,hǔ}	This living stick-horse requires you to recite the elegant words of a haiku before it will permit you to mount him	0,085803903	263	xu3	to allow/to permit/to praise/(surname)						
羽	Feathers		6	544	20	{yǔ,hù}		0,004323424	1865	yu3	feather						
习	Learn		3	545	20	xí		0,029626775	676	xi2	to practice/to study/habit						
翔	Soar		12	546	20	xiáng	This Da Vinci of the sheep world has strapped feathers to the wool on it's right side and thrown itself off a cliff, hoping to soar across the world. Unfortunately, sheep just aren't that aerodynamic...	0,002906916	2184	xiang2	soar						
虹	rainbow	虹		1737	20	Hóng			2176	hong2/jiang4	rainbow, rainbow						
蝠	bat	蝠		1738	20	Fú			3335	fu2	bat						
浊	turbid	濁		1739	20	Zhuó			2985	zhuo2	impure/muddy						
蝗	locust	蝗		1740	20	Huáng			3271	huang2	locust						
蛙	frog	蛙		1741	20	Wā			2904	wa1	frog						
烛	candle	燭		1742	20	Zhú			2537	zhu2	candle						
茧	cocoon	繭		1743	20	Jiǎn			3608	jian3	cocoon						
蚕	silkworm	蠶		1744	20	Cán			2787	can2	silkworm						
胞	placenta	胞		1745	20	Bāo			1341	bao1	the placenta/womb						
炮	cannon	砲		1746	20	Pào			914	pao4	cannon/gun/firecracker, gun/cannon						
袍	robe	袍		1747	20	Páo			2324	pao2	gown (lined)						
雹	hail	雹		1748	20	Báo			4037	bao2	hail						
豪	unrestrained	豪		1749	20	Háo			1513	hao2	grand/heroic						
啄	peck	啄		1750	20	Zhuó			3449	zhuo2	to peck						
琢	chisel	琢		1751	20	Zuó			2921	zhuo2	to cut (gems)						
遂	satisfy	遂		1752	20	Suì			2017	sui4/sui2	forthwith						
嫁	marry	嫁		1753	20	Jià			2063	jia4	marry (a husband)						
肠	intestines	腸		1754	20	Cháng			1921	chang2	intestines						
杨	poplar	楊		1755	20	Yáng			1062	yang2	(surname)/poplar						
烫	scald	燙		1756	20	Tàng			2903	tang4	to scald/to burn/to iron/hot						
荡	licentious	蕩		1757	20	Dàng			1424	dang4	a pond/pool/wash/squander/sweep away/move/shake/dissolute						
姜	ginger	薑		1758	20	Jiāng			2394	jiang1	(surname)/ginger, ginger						
详	detailed	詳		1759	20	Xiáng			1439	xiang2	detailed/comprehensive						
羡	envy	羨		1760	20	Xiàn			2732	xian4	to envy						
栏	railing	欄		1761	20	Lán			2101	lan2	fence/railing/hurdle						
拦	impede	攔		1762	20	Lán			1996	lan2	cut off/hinder						
唯	solely	唯		1763	20	wéi			1094	wei2/wei3	#NAZWA?						
雀	sparrow	雀		1764	20	Què			2331	qiao1/qiao3/que4	lentigo, bird, bird						
堆	pile	堆		1765	20	Duī			1370	dui1	a pile/a mass/heap/stack						
雕	sculpture	雕		1766	20	Diāo			1829	diao1	engrave, engrave/shrewd, golden eagle						
截	lop off	截		1767	20	Jié			1552	jie2	a section/cut off (a length)						
霍	all at once	霍		1768	20	Huò			1442	huo4	(surname)/cholera						
雌	feminine	雌		1769	20	cí			2382	ci2	female						
焦	apprehensive	焦		1770	20	Jiāo			1554	jiao1	burnt/scorched/worried/anxious						
瞧	lay eyes on	瞧		1771	20	Qiáo			1551	qiao2	look at						
礁	reef	礁		1772	20	Jiāo			2952	jiao1	reef/shoal rock						
蕉	banana	蕉		1773	20	Jiāo			3104	jiao1	banana						
翘	turn upward	翹		1774	20	Qiào			2992	qiao2/qiao4	outstanding/to raise						
塌	fall down	塌		1775	20	Tā			2465	ta1	collapse						
翰	writing brush	翰		1776	20	Hàn			1881	han4	pen						
耀	show off	耀		1777	20	Yào			1804	yao4	brilliant/glorious						
戳	jab	戳		1778	20	Chuō			2944	chuo1	poke/pierce/prick/wooden or rubber stamp or seal						
困	Trapped		7	547	21	kùn	You are being help captive by an evil dryad, and she has summoned the trees to pent you in	0,020243507	868	kun3/kun4	a bunch/tie together, distress/sleepy/doze off, sleepy/doze off						
固	Solid		8	548	21	gù	This bread has been pent in the bread bin for so long that it has turned rock solid. You try and eat it but chip your teeth in the process!	0,019421819	893	gu4	hard/strong/solid/sure						
国	Country		8	549	21	guó	The rulers of this country have pent in all the valuable jade treasures of the world	0,509214232	20	guo2	country/state/nation						
圆	Round		10	550	21	yuán	This employee has been pent in the stores cupboard for failing to get his round in at the company pub trip	0,012540825	1145	yuan2	circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (Yuan)/tactful/to justify						
因	Cause		6	551	21	yīn	If you keep your big St. Bernard dog pent in the house all day he will cause your house to become quite a mess in his frustration	0,192043557	96	yin1	cause/reason/because						
烟	Smoke		10	552	21	{yān,yīn}	What causes smoke? Fire, of course!	0,017124709	967	yan1	cigarette/tobacco/smoke						
园	Park		7	553	21	yuán	In the beginning, the two living humans were pent in the Garden of Eden (which is really just a theological kind of park)	0,016498365	988	yuan2	garden						
回	Return		6	554	21	huí	A sure-fire way to move but still return to your point of origin is to walk in two circles	0,123637226	172	hui2	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam						
图	Picture		8	555	21	tú	A classic scene for Christmas picture-postcards is that of a rural village totally pent in by the thick snowdrifts of winter	0,0444213	476	tu2	diagram/to plan/picture/drawing/chart						
广	Extensive		3	556	21	{yǎn,ān,guǎng}		0,045425413	468	guang3	wide/numerous/to spread						
店	Store		8	557	21	diàn	The stores in Zelda were always situated inside caves and had fortune-teller-like vendors	0,014948527	1041	dian4	inn/shop/store						
库	Warehouse		7	558	21	kù	Batman uses the Batcave as a warehouse for his huge car - the Batmobile	0,013397138	1097	ku4	warehouse/storehouse						
裤	Trousers		13	559	21	kù	China is famous for it's textile manufacturers - this is just one of their many warehouses, holding racks and racks of snazzy cloak/trouser combinations	0,003246444	2090	ku4	drawers/trousers/pants						
床	Bed		7	560	21	chuáng	If you want to make your bed in the wilderness, the only safe places are in the branches of a tree or in a cave. To be on the safe side, you could drag a tree into a cave and sleep there	0,014099449	1068	chuang2	bed/couch/(a measure word)						
麻	Hemp		11	561	21	{má,mā}	If you're lying on your bed smoking hemp and start to see double it means that it's time to stop!	0,013221431	1108	ma2	(to have) pins and needles/tingling/hemp/numb/to bother						
庄	Hamlet		6	562	21	zhuāng	Hobbiton is a small hamlet built entirely of caves concealed under a thin layer of soil, for insulation and concealment	0,015337666	1024	zhuang1	farm/village						
心	Heart		4	563	21	xīn		0,2026976	90	xin1	heart/mind						
忘	Forget		6	564	21	{wàng,wáng}	You can only truly forget her when she perishes in your heart	0,014449829	1056	wang4	to forget/to overlook/to neglect						
忍	Endure		7	565	21	rěn	A ninja must endure the pain of clinging to the ceiling for hours on end to find just the right moment to drop down and thrust his blade into an enemies heart	0,012848312	1127	ren3	to beat/to endure/to tolerate						
总	General		8	566	21	{zǒng,zōng}	A representation of the general public: as horny as animals, ruled by their hearts, and mouthy to boot!	0,095331354	228	zong3	always/to assemble/gather/total/overall/head/chief/general/in every case						
态	Attitude		8	567	21	tài	If someone is overly attentive to the needs of their heart over those of their head the result is usually a bad attitude that annoys others	0,039905631	528	tai4	attitude						
志	Aspiration		7	568	21	zhì	It the aspiration of every young boy to be a soldier and every young girl to be a heart surgeon	0,039226059	542	zhi4	the will, sign/mark/to record/write a footnote						
思	Consider		9	569	21	{sī,sì,sāi}	When you consider something carefully, you take into account the opinions of your brains as well as your heart	0,074677002	298	si1	to think/to consider						
恩	Kindness		10	570	21	ēn	What causes you to perform acts of kindness? The heart, of course!	0,019585123	888	en1	kind act (from above)						
愿	Wish		14	571	21	yuàn	Julia Roberts may have finished her part in the Sound of Music, but her heart is still with the flatlands she left behind and continually wishes to return to	0,035097462	598	yuan4	sincere/willing, hope/wish/desire/ready/willing						
意	Idea		13	572	21	yì	This person has just had a great idea - they are so excited at the prospect that the sound of their heart beating is clearly audible	0,186162543	104	yi4	idea/meaning/wish/desire/(abbr.) Italy						
想	Think		13	573	21	xiǎng	When you are deeply in love, all you can think about is how much you heart one another	0,190600177	99	xiang3	to think/to believe/to suppose/to wish/to want/to miss						
息	Breath		10	574	21	xī	You draw a breath in by your nostrils and it is taken into your heart via your lungs	0,050875946	428	xi1	news/interest/breath/rest						
恐	Fear		10	575	21	kǒng	If your heart surgeon isn't excellent at his work (and only ordinary!) then you certainly have something to fear	0,019470397	891	kong3	afraid/frightened/to fear						
感	Feel		13	576	21	gǎn	If you feel sad, your heart is likely to weep salty tears of grief	0,092185683	243	gan3	to feel/to move/to touch/to affect						
憾	Regret		16	577	21	hàn	You regret when your state of mind is that of feeling sad	0,00260253	2269	han4	regret						
忧	Worried		7	578	21	yōu	Trapped in the castle of the Frakenpooch, you have good reason to be in a worried state of mind! What's more, you are being worried by the teeth of his canine minions.	0,007624131	1461	you1	worried						
惊	Startled		11	579	21	{liáng,jīng}	You are startled by a request from the capital building to come and be the new president - are the legislators really in a well state of mind?	0,030864475	659	jing1	to start/to be frightened/to be scared/alarm						
怕	Dread		8	580	21	pà	"Instead of being haunted by a raven chanting ""nevermore"", this person is pursued by a white dove. He dreads its coming, and it quite ruins his state of mind."	0,032826192	631	pa4	to be afraid/to fear						
忙	Busy		7	581	21	máng	When are you busy you are in a state of mind where all thoughts have perished	0,021718412	827	mang2	busy						
惯	Accustomed to		11	582	21	guàn	Flagellants have a state of mind where they have become accustomed to piercing themselves with all manner of horrible implements	0,010790474	1226	guan4	accustomed to/used to						
必	Certainly		4	583	21	bì		0,090418277	248	bi4	certainly/must/will/necessarily						
咽	throat	咽		1779	21	Yàn			2031	yan1/yan4/ye4	narrow pass/throat, to swallow, to choke (in crying)						
姻	in-law	姻		1780	21	Yīn			2007	yin1	marriage connections						
墙	wall	牆		1781	21	Qiáng			1212	qiang2	wall						
旷	expansive	曠		1782	21	Kuàng			2735	kuang4	waste/wilderness						
矿	mine	礦		1783	21	Kuàng			1385	kuang4	ore/mine						
庆	celebrate	慶		1784	21	Qìng			1269	qing4	celebrate						
嘛	(pause marker)	嘛		1785	21	Ma			1628	ma	(a modal particle)						
磨	grind	磨		1786	21	Mó			1537	mo2/mo4	to sharpen/to delay/hardship/to grind/to rub, grindstone						
脏	dirty	髒		1787	21	Zāng			1634	zang1/zang4	dirty/filthy, viscera						
赃	stolen goods	贓		1788	21	Zāng			3296	zang1	booty/spoils						
桩	stake	樁		1789	21	Zhuāng			2491	zhuang1	item/stump/stake/pile						
忠	loyal	忠		1790	21	Zhōng			1322	zhong1	loyal						
恕	pardon	恕		1791	21	Shù			2314	shu4	forgive						
惑	be bewildered	惑		1792	21	Huò			1600	huo4	confuse						
愈	more and more	愈		1793	21	Yù			1301	yu4	heal/the more...the more/to recover/better, heal						
惠	favor	惠		1794	21	Huì			1524	hui4	favor/kind act (from above)						
忌	shun	忌		1795	21	Jì			1922	ji4	avoid as taboo/jealous						
患	troubles	患		1796	21	Huàn			1249	huan4	misfortune/suffer (from illness)/trouble/danger/worry/to contract (a disease)						
惹	provoke	惹		1797	21	Rě			2272	re3	to provoke/to exasperate/to annoy						
恆	permanent	恒		1798	21	Héng			3219	shi4	rely upon						
悟	realize	悟		1799	21	Wù			1668	wu4	comprehend						
悼	mourn	悼		1800	21	Dào			2963	dao4	mourn/lament						
惧	be frightened	懼		1801	21	Jù			1616	ju4	to fear						
慎	prudent	慎		1802	21	Shèn			1765	shen4	cautious						
惰	indolent	惰		1803	21	Duò			3310	duo4	lazy						
恢	immense	恢		1804	21	Huī			1364	hui1	to restore/to recover/great						
惶	fearful	惶		1805	21	Huáng			2320	huang2	frightened						
忆	recall	憶		1806	21	Yì			1333	yi4	remember						
悄	noiseless	悄		1807	21	Qiāo			1434	qiao3/qiao1	quiet/sad						
恍	all of a sudden	恍		1808	21	Huǎng			2535	huang3	disappointed/flurried/indistinct						
恰	just right	恰		1809	21	Qià			1308	qia4	exactly/just				疑	yi2	to doubt/to misbelieve/to suspect
愉	overjoyed	愉		1810	21	Yú			1982	yu2	pleased						
怔	terror-stricken	怔		1811	21	Zhēng			2191	zheng1	be startled						
怖	be scared of	怖		1812	21	Bù			1776	bu4	terror/terrified/afraid/frightened						
慌	nervous	慌		1813	21	Huāng			1650	huang1	nervous						
愣	dumbfounded	傻		1814	21	lèng			2263	leng4	to look distracted/to stare blankly/distracted/stupefied/blank						
悦	delighted	悅		1815	21	Yuè			1995	yue4	pleased						
憎	loathe	憎		1816	21	Zēng			2617	zeng1	detest						
惟	thinking	惟		1817	21	Wéi			1856	wei2	#NAZWA?						
悔	be sorry about	悔		1818	21	Huǐ			1853	hui3	regret						
慕	admire	慕		1819	21	Mù			1990	mu4	admire						
添	augment	添		1820	21	Tiān			1859	tian1	to add/to increase/to replenish						
媳	daughter-in-law	媳		1821	21	Xí			2393	xi2	daughter in law						
熄	put out	熄		1822	21	Xī			2858	xi1	"(v) extinguish; quench/go out (of fire)"						
泌	secrete	泌		1823	21	Mì			2609	bi4/mi4	secrete/pour off						
瑟	Chinese harp	瑟		1824	21	Sè			1694	se4	(mus. instr.)						
蜜	honey	蜜		1825	21	Mì			2014	mi4	honey						
手	Hand		4	584	22	shǒu		0,144928257	143	shou3	hand/convenient						
看	Look at		9	585	22	{kàn,kān}	You are trying to get a better look at some object far off in the distant desert, so you lift up your hand to shield your eyes	0,219435237	76	kan1/kan4	to look after/to take care of/to watch/to guard, it depends/think/to see/to look at						
摩	Rub		15	586	22	{mó,mā}	You rub up a fat spliff, hemp in one hand and rolling paper in another	0,012219384	1162	mo2	rub						
拿	Hold		10	587	22	ná	When you hold something it fits perfectly in your hand	0,031936288	645	na2	to hold/to seize/to catch/to apprehend/to take						
我	I		7	588	22	wǒ		0,873391683	9	wo3	I/me/myself						
抱	Embrace		8	589	22	bào	You embrace your long-lost brother tightly, your fingers wrapping around his shoulders	0,012955287	1122	bao4	to hold/to carry (in one's arms)/to hug or embrace/surround/cherish						
抗	Combat		7	590	22	{kàng,káng}	If you watch a master of kung fu in combat, his fingers will appear to be a whirlwind as they dance all over the opponent. As he steps back, the opponent falls to the ground in ten thousand tiny chunks!	0,024465642	766	kang4	to resist/to fight/to defy						
批	Criticize		7	591	22	pī	When you criticize someone publically, you point your finger at them and loudly compare them to some ideal standard	0,036474695	569	pi1	to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on						
招	Beckon		8	592	22	{zhāo,qiáo,sháo}	When you beckon to someone with your finger you are summoning them to you	0,017893685	941	zhao1	provoke/to recruit						
打	Strike		5	593	22	{dǎ,dá}	Strike while the iron is hot! In this particular case, the hot iron spike being struck is being placed by the side of the fingers of an enemy soldier who won't talk	0,096197486	223	da2/da3	dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from						
指	Finger		9	594	22	zhǐ	His fingers moved purposefully up her thighs..	0,086233352	261	zhi3	finger/to point/to direct/to indicate						
持	Support		9	595	22	chí	Everyone who supported the Buddhist temples in Myanmar had their fingers chopped off	0,062009048	357	chi2	to grasp/to hold/support/manage/direct/maintain						
担	Assume		8	596	22	{dàn,dān,dǎn,qiè}	One of Hercules' labours was to hold the world in his fingers for Atlas, assuming the considerable burden until daybreak	0,026765336	720	dan1/dan4	to undertake/to carry/to shoulder/to take responsibility, a picul (133.33 lbs.)/burden/a load/responsibility						
括	Include		9	597	22	{kuò,guā}	To include every child in a conversation at school, you can request that everyone holds their tongue until they have a finger pointed at them by the teacher	0,020939617	850	kuo4	enclose/include						
提	Bring up		12	598	22	{tí,dī,dǐ,shí}	"When you bring up an idea in a group, you stick your finger in the air and say ""Here be a thought..."""	0,106023121	196	di1/ti2	carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention						
挥	Brandish		9	599	22	huī	Who is brandishing this weapon? There is one held in the fingers of every member of your army!	0,025685255	742	hui1	scatter/wield/wipe away						
推	Push		11	600	22	tuī	You're on a visit to a turkey farm, but you become trapped in the barn because an enormously fat turkey has blocked your path. You need to use all the strength in your fingers to push it out of the way.	0,041824971	505	tui1	push/refuse (responsibility)/shove						
搅	Stir		12	601	22	jiǎo	You stir the cake batter wildly, your fingers gripping the spoon tightly until you come to your senses.	0,001510046	2679	jiao3	to disturb/to annoy/to mix/to stir						
执	Clench		6	602	22	zhí	You clench your buttocks at the prospect of the doctor taking a suppository from his bottle of pills and shoving it up your behind with his fingers	0,024569516	763	zhi2	execute (a plan)/grasp						
热	Heat		10	603	22	rè	You are so desperate for heat, you clench the cooking fire to you before you remember the unfortunate effect fire has on your skin	0,03465096	606	re4	heat/to heat up/fervent/hot (of weather)/warm up						
接	Welcome		11	604	22	jiē	You welcome this woman to your home with the gift of a ring with a vase design, perfectly mirroring on her fingers the vase earrings she always wears	0,090681838	247	jie1	to extend/to connect/to receive/to join						
挂	Hang		9	605	22	guà	How is this ninja hanging from the ceiling? He has stuffed his fingers into the crevices of the bricks on either side of the room and is stretched taught between them.	0,010700553	1232	gua4	hang/suspend, to hang/to put up/to suspend						
按	Press down on		9	606	22	àn	You press your finger down on the Big Red Button and destroy the peace of the world forever as you let the missiles fly!	0,036166691	573	an4	to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of						
掉	Drop		11	607	22	diào	You drop to your knees with respect as an eminent magician enters the room, but he's so deep in thought considering magical arcana that he doesn't even notice your presence and treads on your fingers as he passes.	0,020950986	849	diao4	to drop/to fall						
拉	Pull		8	608	22	{lā,lá,lǎ,là}	It is well known that Ghenghis Khan liked to eat the fingers of his enemies as a snack. In story we see him sitting on his throne and pulling them out of a vase and into his mouth one by one.	0,069275564	324	la1	to pull/to play (string instruments)/to drag/to draw						
啦	!!		11	609	22	{la,lā}	This expresses the shock you feel upon witnessing Ghenghis putting one of those fingers into his mouth and biting down happily.	0,011505188	1194	la1/la	(onomat.)/(phonetic), (an auxiliary word performing the grammatical functions of mood)/fusion of le + a						
找	Look for		7	610	22	zhǎo	This is another one of those fiesta games - in this one, you have to manipulate the fingers of a grabber game to get a cuddly animal as a prize.	0,045604738	466	zhao3	to try to find/to look for/to call on (sb)/to find/to seek/to return/to look for						
无	Nothing		4	611	22	{wú,mó}		0,185662811	105	wu2	-less/not to have/no/none/not/to lack/un-						
抚	Comfort		7	612	22	{fǔ,hū}	This poor woman is the girlfriend of the invisible man. She is very upset that her loved one has vanished from sight. However, she feels his fingers stroking her and that gives her some comfort until she realises that she is being stroked by nothing she can see.	0,00521953	1720	fu3	to comfort/touch gently with hand						
开	Open		4	613	22	kāi		0,194834197	94	kai1	open/operate (vehicle)/start						
研	Grind away		11	614	22	{yán,yàn,xíng}	You use your two hands to grind away at your grain on the millstone, turning it into a fine powder for flower	0,048454291	447	yan2	grind fine/study/research						
弄	Play with		7	615	22	{nòng,lòng}	This represents a jolly king playing with juggling balls - his two hands toss the balls around in huge arcs.	0,014575925	1053	long4/nong4	lane/alley, to do/to manage/to handle/to play with/to fool with/to mess with/to fix/to toy with						
异	Different		6	616	22	yì	"This snake(skin) oil salesman shakes his two hands in front of him in protest: ""no, my product is different from those fraudsters""!"	0,027252664	709	yi4	(interj.)/raise/to stop, different/unusual/strange						
鼻	Nose		14	617	22	bí		0,009184822	1335	bi2	nose						
刑	Punishment		6	618	22	xíng	In ancient times, as punishment for thievery you would have a hand cut off. This character represents that concept - a saber is about to fall on someones two hands and cut the second one off	0,013670517	1087	xing2	punishment						
型	Mold		9	619	22	xíng	With your two hands you reach into the soil and mold it into an earth-saber. Just the thing for taking on ants!	0,03783694	556	xing2	model						
才	Genius		3	620	22	cái		0,093912779	235	cai2	ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until						
